variant,normal_score,flipped_score,antisym_score,symmetric_order_score,backbone,pair_index,dataset_index
attention_without_norm,1.4747952222824097,2.0085766315460205,-0.2668907046318054,1.741685926914215,Ouro 2.6B Thinking,9,
mean_with_norm,0.7980884909629822,1.106952428817749,-0.15443196892738342,0.9525204598903656,Ouro 2.6B Thinking,9,
mean_without_norm,1.2550256252288818,1.665435552597046,-0.20520496368408203,1.4602305889129639,Ouro 2.6B Thinking,9,
attention_with_norm,1.8541656732559204,0.1361667811870575,0.8589994460344315,0.995166227221489,Ouro 2.6B Thinking,10,
attention_without_norm,2.0818636417388916,1.2474908828735352,0.4171863794326782,1.6646772623062134,Ouro 2.6B Thinking,10,
mean_with_norm,1.6078946590423584,0.0823545753955841,0.7627700418233871,0.8451246172189713,Ouro 2.6B Thinking,10,
mean_without_norm,2.0774052143096924,1.1853816509246826,0.4460117816925049,1.6313934326171875,Ouro 2.6B Thinking,10,
attention_with_norm,3.0017411708831787,-0.31793081760406494,1.6598359942436218,1.3419051766395569,Ouro 2.6B Thinking,11,
attention_without_norm,3.414106607437134,0.6595310568809509,1.3772877752780914,2.0368188321590424,Ouro 2.6B Thinking,11,
mean_with_norm,3.2348668575286865,-0.6737248301506042,1.9542958438396454,1.2805710136890411,Ouro 2.6B Thinking,11,
mean_without_norm,3.4986960887908936,-0.14102330803871155,1.8198596984148026,1.678836390376091,Ouro 2.6B Thinking,11,
attention_with_norm,1.0746266841888428,2.2593274116516113,-0.5923503637313843,1.666977047920227,Ouro 2.6B Thinking,12,
attention_without_norm,1.8670854568481445,2.484630823135376,-0.3087726831436157,2.1758581399917603,Ouro 2.6B Thinking,12,
mean_with_norm,1.1951327323913574,1.9178392887115479,-0.3613532781600952,1.5564860105514526,Ouro 2.6B Thinking,12,
mean_without_norm,1.4313771724700928,2.008831024169922,-0.28872692584991455,1.7201040983200073,Ouro 2.6B Thinking,12,
attention_with_norm,2.0345537662506104,0.23961199820041656,0.8974708840250969,1.1370828822255135,Ouro 2.6B Thinking,13,
attention_without_norm,2.1111247539520264,1.5798325538635254,0.2656461000442505,1.8454786539077759,Ouro 2.6B Thinking,13,
mean_with_norm,1.179414987564087,1.3726556301116943,-0.09662032127380371,1.2760353088378906,Ouro 2.6B Thinking,13,
mean_without_norm,1.7539489269256592,2.0153353214263916,-0.1306931972503662,1.8846421241760254,Ouro 2.6B Thinking,13,
attention_with_norm,2.8710951805114746,-0.8317987322807312,1.851446956396103,1.0196482241153717,Ouro 2.6B Thinking,14,
attention_without_norm,3.030648708343506,-0.2779999077320099,1.6543243080377579,1.376324400305748,Ouro 2.6B Thinking,14,
mean_with_norm,1.5283443927764893,0.7667074799537659,0.3808184564113617,1.1475259363651276,Ouro 2.6B Thinking,14,
mean_without_norm,1.7331726551055908,1.0097458362579346,0.3617134094238281,1.3714592456817627,Ouro 2.6B Thinking,14,
attention_with_norm,3.2494399547576904,-0.3602984547615051,1.8048692047595978,1.4445707499980927,Ouro 2.6B Thinking,15,
attention_without_norm,3.3556411266326904,0.6306342482566833,1.3625034391880035,1.993137687444687,Ouro 2.6B Thinking,15,
mean_with_norm,2.76725697517395,-0.050919972360134125,1.4090884737670422,1.358168501406908,Ouro 2.6B Thinking,15,
mean_without_norm,3.0482370853424072,0.5899578332901001,1.2291396260261536,1.8190974593162537,Ouro 2.6B Thinking,15,
attention_with_norm,0.5076830983161926,1.970333456993103,-0.7313251793384552,1.2390082776546478,Ouro 2.6B Thinking,16,
attention_without_norm,1.7751357555389404,1.814591884613037,-0.01972806453704834,1.7948638200759888,Ouro 2.6B Thinking,16,
mean_with_norm,1.1426640748977661,0.8959986567497253,0.12333270907402039,1.0193313658237457,Ouro 2.6B Thinking,16,
mean_without_norm,1.8665173053741455,1.7024245262145996,0.08204638957977295,1.7844709157943726,Ouro 2.6B Thinking,16,
attention_with_norm,4.378726482391357,-1.1398305892944336,2.7592785358428955,1.619447946548462,Ouro 2.6B Thinking,17,
attention_without_norm,4.485501289367676,-0.09280254691839218,2.289151918143034,2.196349371224642,Ouro 2.6B Thinking,17,
mean_with_norm,3.7783050537109375,-0.29280489683151245,2.035554975271225,1.7427500784397125,Ouro 2.6B Thinking,17,
mean_without_norm,3.895960569381714,0.08964836597442627,1.9031561017036438,1.99280446767807,Ouro 2.6B Thinking,17,
attention_with_norm,3.062725782394409,-0.8115891218185425,1.9371574521064758,1.1255683302879333,Ouro 2.6B Thinking,18,
attention_without_norm,2.5390942096710205,1.2342662811279297,0.6524139642715454,1.886680245399475,Ouro 2.6B Thinking,18,
mean_with_norm,1.607250690460205,1.523667812347412,0.041791439056396484,1.5654592514038086,Ouro 2.6B Thinking,18,
mean_without_norm,2.3438565731048584,1.8020135164260864,0.270921528339386,2.0729350447654724,Ouro 2.6B Thinking,18,
attention_with_norm,1.4507105350494385,0.5609840750694275,0.4448632299900055,1.005847305059433,Ouro 2.6B Thinking,19,
